Id,SalePrice
1461,126987.29
1462,162254.61
1463,190415.14
1464,196320.25
1465,180806.53
1466,171806.94
1467,182000.75
1468,169062.02
1469,183426.64
1470,126570.4
1471,200159.31
1472,98693.59
1473,103668.93
1474,151663.66
1475,118755.75
1476,370016.03
1477,265783.06
1478,278834.38
1479,263766.53
1480,515525.8
1481,346121.84
1482,210790.95
1483,170380.36
1484,160262.9
1485,178931.64
1486,197105.55
1487,330461.72
1488,236539.72
1489,217589.67
1490,219813.66
1491,188639.12
1492,86351.89
1493,189349.98
1494,286866.94
1495,309498.75
1496,227881.84
1497,178952.62
1498,163425.86
1499,155461.78
1500,153135.95
1501,173505.53
1502,152346.72
1503,305659.4
1504,240415.73
1505,234193.19
1506,199740.94
1507,261891.12
1508,199957.08
1509,165782.39
1510,149333.95
1511,145745.86
1512,173508.19
1513,136456.64
1514,150595.1
1515,192733.77
1516,152121.55
1517,160112.6
1518,136990.47
1519,221104.78
1520,133933.12
1521,138585.58
1522,168673.1
1523,114623.62
1524,122160.06
1525,125665.805
1526,115968.914
1527,99313.63
1528,133021.69
1529,150840.16
1530,164508.11
1531,102454.195
1532,102444.234
1533,141915.52
1534,125429.81
1535,148905.47
1536,110786.03
1537,68381.33
1538,144476.97
1539,186383.8
1540,88749.41
1541,149527.34
1542,145183.45
1543,221341.7
1544,72305.42
1545,111737.82
1546,128242.04
1547,131801.72
1548,137790.64
1549,116391.5
1550,138459.03
1551,117251.48
1552,134245.53
1553,145960.34
1554,116085.1
1555,163474.97
1556,78653.0
1557,106897.46
1558,94194.97
1559,75860.15
1560,124048.21
1561,127688.11
1562,119491.58
1563,120610.14
1564,153618.5
1565,137927.52
1566,229065.64
1567,76935.69
1568,221222.47
1569,140809.5
1570,127670.945
1571,123630.71
1572,152240.4
1573,253005.08
1574,95577.47
1575,212801.3
1576,229770.38
1577,198634.42
1578,142606.2
1579,148362.14
1580,196194.1
1581,146952.58
1582,125398.12
1583,340342.6
1584,222395.84
1585,140044.27
